SKU,Price,Title,Assets,Description,Brand,Category,Stock
ZG20-RED,4.6,Europa Interfacing Relay ZG20-RED,https://www.europa-plc.com/_uploads/europa/xZG20-RED_H_555_W_555.jpg.pagespeed.ic.8GwQuMxExv.webp,"
				LED indicator, Relay eject mechanism, 6mm wide din rail mounting",Europa,Accessories,100
ZG20-BLACK,4.6,Europa Interfacing Relay ZG20-BLACK,https://www.europa-plc.com/_uploads/europa/xZG20-BLACK_H_555_W_555.jpg.pagespeed.ic.8GwQuMxExv.webp,"
				LED indicator, Relay eject mechanism, 6mm wide din rail mounting",Europa,Accessories,100
TR2-D18321,31.29,Europa Contactor Overloads for TC1 & TP1 TR2-D18321,https://www.europa-plc.com/_uploads/europa/xTR2-D18321_H_555_W_555.jpg.pagespeed.ic.1hLbbJy0o2.webp,"
				Overload relays do not fit on TC1 contactors with 2N/O + 2N/C main pole contacts",Europa,Relays,100
TR2-D12316,25.97,Europa Contactor Overloads for TC1 & TP1 TR2-D12316,https://www.europa-plc.com/_uploads/europa/xTR2-D12316_H_555_W_555.jpg.pagespeed.ic.1hLbbJy0o2.webp,"
				Overload relays do not fit on TC1 contactors with 2N/O + 2N/C main pole contacts",Europa,Relays,100
TR2-D09310,24.45,Europa Contactor Overloads for TC1 & TP1 TR2-D09310,https://www.europa-plc.com/_uploads/europa/xTR2-D09310_H_555_W_555.jpg.pagespeed.ic.1hLbbJy0o2.webp,"
				Overload relays do not fit on TC1 contactors with 2N/O + 2N/C main pole contacts",Europa,Relays,100
TR2-D09307,24.45,Europa Contactor Overloads for TC1 & TP1 TR2-D09307,https://www.europa-plc.com/_uploads/europa/xTR2-D09307_H_555_W_555.jpg.pagespeed.ic.1hLbbJy0o2.webp,"
				Overload relays do not fit on TC1 contactors with 2N/O + 2N/C main pole contacts",Europa,Relays,100
TC1-D6511P7,111.99,Europa TC1 37kW 65A AC3 (80A AC1) 3 Pole Contactors TC1-D6511P7,https://www.europa-plc.com/_uploads/www.europa-plc.com/xTC1-D6511P7_H_555_W_555.jpg.pagespeed.ic.Ky4ryVxdbo.webp,"
				Made in India, Maximum rated operational voltage 690V",Europa,Contactors,100
TC1-D65004P7,174.64,Europa TC1 37kW 65A AC3 (80A AC1) 4 Pole Contactors TC1-D65004P7,https://www.europa-plc.com/_uploads/www.europa-plc.com/TC1-D65004P7_H_555_W_555.jpg,"
				Made in India, Maximum rated operational voltage 690V",Europa,Contactors,100
TC1-D40004P7,105.29,Europa TC1 22kW 40A AC3 (60A AC1) 4 Pole Contactors TC1-D40004P7,https://www.europa-plc.com/_uploads/www.europa-plc.com/xTC1-D40004P7_H_555_W_555.jpg.pagespeed.ic.Cj_wUYvnE6.webp,"
				Made in India, Maximum rated operational voltage 690V",Europa,Contactors,100
TC1-D3201P7,49.49,Europa TC1 15kW 32A AC3 (50A AC1) 3 Pole Contactors TC1-D3201P7,https://www.europa-plc.com/_uploads/www.europa-plc.com/xTC1-D3201P7_H_555_W_555.jpg.pagespeed.ic.LBJlG_ZI7E.webp,"
				Made in India, Maximum rated operational voltage 690V",Europa,Contactors,100
