SKU,Title,Description,Stock,Price,Assets,DataSheet,Brand,Category
GV1F03,"Schneider Manual Stater Protector, TeSys Deca, height compensation plate, 7.5mm GV1F03","TeSys GV products provide efficient motor control and protection solutions up to 520 amps. This 7.5 mm compensation plate allows the mounting of GV2M and GV2P on a common bus bar. This plate is 1.54 inches tall, 1.38 inches wide and 0.51 inches deep. Compension plate meets the requirements of RoHS/REACh making it a Green Premium product.                     ",200,2.22,https://download.schneider-electric.com/files?p_Doc_Ref=PIO00007946&p_File_Type=rendition_4000_png,https://www.se.com/uk/en/product/download-pdf/GV1F03,Schneider,Accessories
GV1G02,Schneider TeSys Deca - flexible connection - 3P - with contactor LC1D09...25 GV1G02,                       ,200,5.55,https://download.schneider-electric.com/files?p_Doc_Ref=PB111869&p_File_Type=rendition_4000_png,https://www.se.com/uk/en/product/download-pdf/GV1G02,Schneider,Accessories
GV1G09,Schneider TeSys Deca & TeSys U - terminal block - 3P - from the top GV1G09,"TeSys GV terminal block, 3 phases, 63A/690V, to supply busbar sets GV2G. To be inserted directly on the top terminals of the devices connected by the busbar sets. Connection to the supply cable by screw connectors.  Green Premium compliant (RoHS/REACh).                    ",200,14.43,https://download.schneider-electric.com/files?p_Doc_Ref=GV1G09_DA19&p_File_Type=rendition_4000_png,https://www.se.com/uk/en/product/download-pdf/GV1G09,Schneider,Relays
GV1G10,Schneider TeSys GV2 - Protective end covers - for unused busbar outlets GV1G10,"TeSys GV accessory, protective end cover for busbar sets GV2G. For the protection of unused busbar outlets.  Sold in lots of 5 units. Green Premium compliant (RoHS/REACh).                    ",200,5.55,https://download.schneider-electric.com/files?p_Doc_Ref=PIO00007723&p_File_Type=rendition_4000_png,https://www.se.com/uk/en/product/download-pdf/GV1G10,Schneider,Relays
GV1L3,"Schneider Current limiter, TeSys Deca, 32A/690V, activation 1.5kA, Iq 100kA@400V, device mounting GV1L3",TeSys GV short circuit current limiter block for motor circuit breakers GV2L/LE/P/ME/RT. It increases the ability of the circuit breaker to withstand a short circuit current from 50 kA to 100/130kA@400 V. To be mounted on top of a GV2 motor circuit breaker.  It conforms to RoHS/REACh regulation.                    ,200,68.82,https://download.schneider-electric.com/files?p_Doc_Ref=PB111870&p_File_Type=rendition_4000_png,https://www.se.com/uk/en/product/download-pdf/GV1L3,Schneider,Relays
GV2AF01,Schneider TeSys Deca - Combination blocks - with contactor LC1K and LP1K GV2AF01,"TeSys GV accessory, combination block for motor starter assembly. For the connection between a motor circuit breaker GV2 or a fuse carrier LS1D32 and a contactor LC1K, LP1K. To be used when the assembly is mounted directly on DIN rails. Sold in lots of 10 units. Green Premium compliant (RoHS/REACh).                    ",200,3.89,https://download.schneider-electric.com/files?p_Doc_Ref=PB111871&p_File_Type=rendition_4000_png,https://www.se.com/uk/en/product/download-pdf/GV2AF01,Schneider,Relays
GV2AF3,Schneider TeSys Deca - Combination blocks - with contactor LC1D09...D38 GV2AF3,"TeSys GV accessory, combination block for motor starter assembly. For the connection between a motor circuit breaker GV2 or a fuse carrier LS1D32 and contactor LC1D09-D38. To be used when the assembly is mounted directly on DIN rails. Sold in lots of 10 units. Green Premium compliant (RoHS/REACh).                    ",200,5,https://download.schneider-electric.com/files?p_Doc_Ref=PB111873&p_File_Type=rendition_4000_png,https://www.se.com/uk/en/product/download-pdf/GV2AF3,Schneider,Relays
GV2AF4,Schneider TeSys Deca - Combination blocks - with LAD311 and contactor LC1D09...D38 GV2AF4,"TeSys GV accessory, combination block for motor starter assembly. For the connection between a motor circuit breaker GV2 or a fuse carrier LS1D32 and a contactor LC1D09-D38. To be used when the assembly uses a mounting bracket LAD311. Sold in lots of 10 units. Green Premium compliant (RoHS/REACh).                    ",200,5,https://download.schneider-electric.com/files?p_Doc_Ref=GV2AF4-image&p_File_Type=rendition_4000_png,https://www.se.com/uk/en/product/download-pdf/GV2AF4,Schneider,Relays
GV2AF5,"Schneider Power link acc TeSys Deca, ATV32 GV2AF5",                       ,200,5,https://download.schneider-electric.com/files?p_Doc_Ref=ODAGV2AF5&p_File_Type=rendition_4000_png,https://www.se.com/uk/en/product/download-pdf/GV2AF5,Schneider,Relays
GV2G05,Schneider TeSys Deca & TeSys U - terminal block - 3P - for GV1L3 GV2G05,"TeSys GV terminal block, 3 phases, 63A/690V, to supply busbar sets GV2G. To be mounted next to the devices connected by the busbar sets, on the same DIN rail, and connected by one of the busbar outlets. It can be fitted with a current limiter GV1L3 for all parallel motor starters (to be ordered separately). Connection to the supply cable by screw connectors. Green Premium compliant (RoHS/REACh).                    ",200,23.31,https://download.schneider-electric.com/files?p_Doc_Ref=ODAGV2G05&p_File_Type=rendition_4000_png,https://www.se.com/uk/en/product/download-pdf/GV2G05,Schneider,Relays
